Title,PDF Link
The Computational Advantage of Depth: Learning High-Dimensional Hierarchical Functions with Gradient Descent,https://arxiv.org/pdf/2502.13961
Bayesian Physics Informed Neural Networks for Linear Inverse problems,https://arxiv.org/pdf/2502.13827
Mixup Regularization: A Probabilistic Perspective,https://arxiv.org/pdf/2502.13825
AnDB: Breaking Boundaries with an AI-Native Database for Universal Semantic Analysis,https://arxiv.org/pdf/2502.13805
A CFL condition for the finite cell method,https://arxiv.org/pdf/2502.13675
Don't Stop the Multi-Party! On Generating Synthetic Multi-Party Conversations with Constraints,https://arxiv.org/pdf/2502.13592
Provably Efficient Multi-Objective Bandit Algorithms under Preference-Centric Customization,https://arxiv.org/pdf/2502.13457
VUS: Effective and Efficient Accuracy Measures for Time-Series Anomaly Detection,https://arxiv.org/pdf/2502.13318
Increasing NWP Thunderstorm Predictability Using Ensemble Data and Machine Learning,https://arxiv.org/pdf/2502.13316
Enhancing Machine Learning Performance through Intelligent Data Quality Assessment: An Unsupervised Data-centric Framework,https://arxiv.org/pdf/2502.13198
Synthetic generation of 2D data records based on Autoencoders,https://arxiv.org/pdf/2502.13183
Query Rewriting via LLMs,https://arxiv.org/pdf/2502.12918
An LLM-Powered Agent for Physiological Data Analysis: A Case Study on PPG-based Heart Rate Estimation,https://arxiv.org/pdf/2502.12836
"Frequency-domain alignment of heterogeneous, multidimensional separations data through complex orthogonal Procrustes analysis",https://arxiv.org/pdf/2502.12810
Theoretical Guarantees for Minimum Bayes Risk Decoding,https://arxiv.org/pdf/2502.12685
Mentoring Software in Education and Its Impact on Teacher Development: An Integrative Literature Review,https://arxiv.org/pdf/2502.12515
The Knowledge Microscope: Features as Better Analytical Lenses than Neurons,https://arxiv.org/pdf/2502.12483
Reasoning on a Spectrum: Aligning LLMs to System 1 and System 2 Thinking,https://arxiv.org/pdf/2502.12470
MCTS-Judge: Test-Time Scaling in LLM-as-a-Judge for Code Correctness Evaluation,https://arxiv.org/pdf/2502.12468
Multi-vision-based Picking Point Localisation of Target Fruit for Harvesting Robots,https://arxiv.org/pdf/2502.12406
Nexus Machine: An Active Message Inspired Reconfigurable Architecture for Irregular Workloads,https://arxiv.org/pdf/2502.12380
On the Performance of Uplink Pinching Antenna Systems (PASS),https://arxiv.org/pdf/2502.12365
Story Grammar Semantic Matching for Literary Study,https://arxiv.org/pdf/2502.12276
